name,platform,release_date,meta_score,user_review
Disco Elysium: The Final Cut, PC,2021,97,83
Persona 5 Royal, PlayStation 4,2020,95,84
The Last of Us Part II, PlayStation 4,2020,93,57
Half-Life: Alyx, PC,2020,93,92
Red Dead Redemption 2, PC,2019,93,62
Beat Saber, PC,2019,93,84
Hades, PC,2020,93,89
Microsoft Flight Simulator, PC,2020,91,72
Factorio, PC,2020,91,91
Final Fantasy XIV: Shadowbringers, PlayStation 4,2019,91,84
Crusader Kings III, PC,2020,91,84
Disco Elysium, PC,2019,91,84
NieR: Automata - Game of the YoRHa Edition, PlayStation 4,2019,91,87
Resident Evil 2, PlayStation 4,2019,91,89
Spelunky 2, PC,2020,91,67
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition, PlayStation 4,2020,91,81
Final Fantasy XIV: Shadowbringers, PC,2019,90,91
Tetris Effect, PC,2019,90,66
Chicory: A Colorful Tale, PC,2021,90,75
Sekiro: Shadows Die Twice, PlayStation 4,2019,90,83
Resident Evil 2, PC,2019,89,90
It Takes Two, PlayStation 4,2021,89,91
Monster Hunter: World - Iceborne, PlayStation 4,2019,89,84
There is no game : Wrong dimension, PC,2020,89,88
Devil May Cry 5, PC,2019,89,86
Slay the Spire, PC,2019,89,75
Apex Legends, PlayStation 4,2019,89,69
Synth Riders, PlayStation 4,2021,89,#¡VALOR!
Dreams, PlayStation 4,2020,89,87
Psychonauts 2, PC,2021,89,68
Tony Hawk's Pro Skater 1 + 2, PlayStation 4,2020,89,88
Asgard's Wrath, PC,2019,88,82
Sekiro: Shadows Die Twice, PC,2019,88,83
Tony Hawk's Pro Skater 1 + 2, PC,2020,88,70
Streets of Rage 4: Mr. X Nightmare, PC,2021,88,76
Ori and the Will of the Wisps, PC,2020,88,87
Halo: The Master Chief Collection - Halo 3, PC,2020,88,79
It Takes Two, PC,2021,88,90
Deathloop, PC,2021,88,48
Unity of Command II, PC,2019,88,77
Apex Legends, PC,2019,88,60
Devil May Cry 5, PlayStation 4,2019,88,84
Slay the Spire, PlayStation 4,2019,88,69
F1 2020, PC,2020,88,70
Wildermyth, PC,2021,88,78
DOOM Eternal, PC,2020,88,88
Pistol Whip, PlayStation 4,2020,88,71
Kentucky Route Zero: TV Edition, PlayStation 4,2020,88,61
Frostpunk: Console Edition, PlayStation 4,2019,87,80
Hitman 3, PC,2021,87,74
Sid Meier's Civilization VI, PlayStation 4,2019,87,68
Final Fantasy VII Remake, PlayStation 4,2020,87,81
Legends of Runeterra, PC,2020,87,70
Baba Is You, PC,2019,87,83
DOOM Eternal, PlayStation 4,2020,87,89
Monster Hunter: World - Iceborne, PC,2020,87,78
F1 2019, PC,2019,87,74
Persona 4 Golden, PC,2020,87,89
Psychonauts 2, PlayStation 4,2021,87,48
Sunless Skies, PC,2019,87,69
Spelunky 2, PlayStation 4,2020,87,81
F1 2020, PlayStation 4,2020,86,78
Mass Effect Legendary Edition, PlayStation 4,2021,86,56
Dragon Quest Builders 2, PlayStation 4,2019,86,77
Steins;Gate Elite, PlayStation 4,2019,86,75
Mass Effect Legendary Edition, PC,2021,86,54
Death Stranding, PC,2020,86,77
Ni no Kuni: Wrath of the White Witch Remastered, PlayStation 4,2019,86,82
Valfaris, PC,2019,86,79
Panzer Corps 2, PC,2020,86,57
Disco Elysium: The Final Cut, PlayStation 4,2021,86,75
Nioh 2: The Complete Edition, PC,2021,86,67
Fell Seal: Arbiter's Mark, PlayStation 4,2019,86,65
Devotion, PC,2019,86,78
Desperados III, PC,2020,86,82
MLB The Show 19, PlayStation 4,2019,86,76
Final Fantasy IV Pixel Remaster, PC,2021,86,73
Monster Train, PC,2020,86,82
Cuphead, PlayStation 4,2020,86,83
ENDER LILIES: Quietus of the Knights, PC,2021,86,84
Cyberpunk 2077, PC,2020,86,71
F1 2021, PC,2021,86,31
Risk of Rain 2, PC,2020,85,81
Deep Rock Galactic, PC,2020,85,82
Mini Motorways, PC,2021,85,70
Wasteland 3, PC,2020,85,76
Castlevania Advance Collection, PlayStation 4,2021,85,73
13 Sentinels: Aegis Rim, PlayStation 4,2020,85,91
The Outer Worlds, PlayStation 4,2019,85,80
Metro Exodus: Complete Edition, PC,2021,85,83
Huntdown, PC,2020,85,77
Control, PC,2019,85,72
Tales of Arise, PC,2021,85,86
Dragon Quest Builders 2, PC,2019,85,72
Nioh 2, PlayStation 4,2020,85,79
Bayonetta & Vanquish, PlayStation 4,2020,85,79
The Forgotten City, PC,2021,85,76
AMID EVIL, PC,2019,85,74
Football Manager 2021, PC,2020,85,63
Total War: Three Kingdoms, PC,2019,85,76
Outer Wilds, PC,2019,85,82
Manifold Garden, PC,2020,85,73
Death's Door, PC,2021,85,76
Crash Bandicoot 4: It's About Time, PlayStation 4,2020,85,81
DiRT Rally 2.0, PC,2019,84,49
Hitman 3, PlayStation 4,2021,84,79
Atelier Ryza 2: Lost Legends & the Secret Fairy, PC,2021,84,77
Guilty Gear -Strive-, PC,2021,84,81
If Found..., PC,2020,84,69
Yakuza: Like a Dragon, PlayStation 4,2020,84,80
DiRT Rally 2.0, PlayStation 4,2019,84,59
Eliza, PC,2019,84,62
Horizon Zero Dawn: Complete Edition, PC,2020,84,65
Guilty Gear -Strive-, PlayStation 4,2021,84,80
Football Manager 2020, PC,2019,84,60
Streets of Rage 4, PC,2020,84,78
Wargroove, PlayStation 4,2019,84,58
Griftlands, PC,2021,84,76
Lair of the Clockwork God, PC,2020,84,74
Tom Clancy's The Division 2, PC,2019,84,46
Fuga: Melodies of Steel, PC,2021,84,81
Marvel's Spider-Man: Miles Morales, PlayStation 4,2020,84,76
The Darkside Detective: A Fumble in the Dark, PC,2021,84,77
Age of Empires II: Definitive Edition, PC,2019,84,88
Spiritfarer, PC,2020,84,80
F1 2019, PlayStation 4,2019,84,77
Telling Lies, PC,2019,84,62
Shovel Knight: King of Cards, PC,2019,84,76
Everhood, PC,2021,84,77
Genshin Impact, PC,2020,84,40
Ghost of Tsushima, PlayStation 4,2020,83,91
Bloodstained: Ritual of the Night, PC,2019,83,83
The Yakuza Remastered Collection, PlayStation 4,2019,83,77
Life is Strange 2: Episode 5 - Wolves, PC,2019,83,59
Persona 5 Strikers, PlayStation 4,2021,83,78
FAR: Lone Sails, PlayStation 4,2019,83,65
Bloodstained: Ritual of the Night, PlayStation 4,2019,83,84
Crash Bandicoot 4: It's About Time, PC,2021,83,51
Crash Team Racing: Nitro-Fueled, PlayStation 4,2019,83,69
Kingdom Hearts III, PlayStation 4,2019,83,80
WHAT THE GOLF?, PC,2019,83,79
NieR Replicant ver.1.22474487139..., PlayStation 4,2021,83,85
One Finger Death Punch 2, PC,2019,83,81
MLB The Show 20, PlayStation 4,2020,83,65
Sackboy: A Big Adventure, PlayStation 4,2020,83,83
Observer: System Redux, PC,2020,83,75
Little Nightmares II, PC,2021,83,82
Trials of Fire, PC,2021,83,69
Trials Rising, PC,2019,83,50
Yakuza: Like a Dragon, PC,2020,83,79
No Man's Sky Beyond, PlayStation 4,2019,83,82
Sunlight, PC,2021,83,54
Creaks, PlayStation 4,2020,83,73
Ape Out, PC,2019,83,67
Katana ZERO, PC,2019,83,89
Pathfinder: Wrath of the Righteous, PC,2021,83,75
World of Warcraft: Shadowlands, PC,2020,83,41
Spiritfarer, PlayStation 4,2020,83,78
I Expect You To Die 2: The Spy And The Liar, PC,2021,83,#¡VALOR!
Kena: Bridge of Spirits, PC,2021,83,78
Hypnospace Outlaw, PC,2019,83,67
Disc Room, PC,2020,83,75
Resident Evil Village, PC,2021,83,84
Demeo, PC,2021,83,82
Tales From Off-Peak City Vol. 1, PC,2020,83,81
Crown Trick, PC,2020,83,76
VA-11 Hall-A: Cyberpunk Bartender Action, PlayStation 4,2019,83,72
Life is Strange: True Colors, PlayStation 4,2021,82,69
Command & Conquer Remastered Collection, PC,2020,82,87
Freedom Finger, PlayStation 4,2020,82,76
Street Fighter V: Champion Edition, PlayStation 4,2020,82,60
Sayonara Wild Hearts, PlayStation 4,2019,82,67
Chivalry 2, PC,2021,82,52
Wreckfest, PlayStation 4,2019,82,70
Outer Wilds, PlayStation 4,2019,82,77
Kaze and the Wild Masks, PC,2021,82,76
Katamari Damacy REROLL, PlayStation 4,2020,82,60
Sam & Max Save the World Remastered, PC,2020,82,46
Yakuza 5 Remastered, PlayStation 4,2020,82,79
SnowRunner, PC,2020,82,66
Yakuza 6: The Song of Life, PC,2021,82,84
Tom Clancy's The Division 2, PlayStation 4,2019,82,62
Pistol Whip, PC,2019,82,77
Mortal Kombat 11, PC,2019,82,32
One Step From Eden, PC,2020,82,87
Yooka-Laylee and the Impossible Lair, PlayStation 4,2019,82,70
Yakuza Kiwami 2, PC,2019,82,84
Desperados III, PlayStation 4,2020,82,78
Eastward, PC,2021,82,72
The Great Ace Attorney Chronicles, PlayStation 4,2021,82,60
Assassin's Creed Valhalla, PC,2020,82,74
Sairento VR, PlayStation 4,2019,82,61
Metro Exodus, PC,2019,82,72
The Outer Worlds, PC,2019,82,73
Huntdown, PlayStation 4,2020,82,75
The Ramp, PC,2021,82,#¡VALOR!
Batbarian: Testament of the Primordials, PC,2020,82,87
Death Stranding, PlayStation 4,2019,82,73
Life is Strange: True Colors, PC,2021,82,67
Creaks, PC,2020,82,82
Subnautica: Below Zero, PC,2021,82,63
Mortal Kombat 11, PlayStation 4,2019,82,37
The Sims 4: Eco Lifestyle, PC,2020,82,33
Little Nightmares II, PlayStation 4,2021,82,85
Control, PlayStation 4,2019,82,72
Life is Strange 2: Episode 4 - Faith, PC,2019,82,48
eFootball PES 2020, PlayStation 4,2019,82,75
Streets of Rage 4, PlayStation 4,2020,82,81
